ISSN	Título	Estrato	Área de Avaliação	Status
1415-3203	Repertório Teatro & Dança	A2	ARTES / MÚSICA	Atualizado
2175-8131	Repertório: Teatro & Dança (Online)	A2	ARTES / MÚSICA	Atualizado
1321-103X	Research Studies in Music Education	A2	ARTES / MÚSICA	Atualizado
1834-5530	Research Studies in Music Education (Online)	A2	ARTES / MÚSICA	Atualizado
2237-2660	Revista Brasileira de Estudos da Presença	A2	ARTES / MÚSICA	Atualizado
0103-7595	Revista Brasileira de Musica (Rio de Janeiro. 1934)	A2	ARTES / MÚSICA	Atualizado
1518-2630	Revista da ABEM	A2	ARTES / MÚSICA	Atualizado
1413-0874	Revista de História da Arte e Arqueologia	A2	ARTES / MÚSICA	Atualizado
1809-3876	Revista e-Curriculum (PUCSP)	A2	ARTES / MÚSICA	Atualizado
0104-026X	Revista Estudos Feministas (UFSC. Impresso)	A2	ARTES / MÚSICA	Atualizado
0328-9230	Teatro XXI (Buenos Aires)	A2	ARTES / MÚSICA	Atualizado
0197-2243	The Information Society	A2	ARTES / MÚSICA	Atualizado
1085-1461	The Journal of Artists' Books	A2	ARTES / MÚSICA	Atualizado
0104-8775	Varia História (UFMG. Impresso)	A2	ARTES / MÚSICA	Atualizado
1679-6748	Visualidades (UFG)	A2	ARTES / MÚSICA	Atualizado
1865-9756	Zeitschrift fur Theaterpadagogik	A2	ARTES / MÚSICA	Atualizado
1084-4309	ACM Transactions on Design Automation of Electronic Systems	B1	ARTES / MÚSICA	Atualizado
1518-8728	Alceu (PUCRJ)	B1	ARTES / MÚSICA	Atualizado
0874-1123	Arquivos da Memória	B1	ARTES / MÚSICA	Atualizado
1678-5320	ARS (São Paulo)	B1	ARTES / MÚSICA	Atualizado
1516-1692	Arte & Ensaio (UFRJ)	B1	ARTES / MÚSICA	Atualizado
1980-4504	Boitatá	B1	ARTES / MÚSICA	Atualizado
0100-1574	Cadernos de Pesquisa (Fundação Carlos Chagas. Impresso)	B1	ARTES / MÚSICA	Atualizado
1519-0617	Ciberlegenda (UFF. Online)	B1	ARTES / MÚSICA	Atualizado
1063-5769	Colonial Latin American Historical Review	B1	ARTES / MÚSICA	Atualizado
1645-2089	Comunicação e Sociedade	B1	ARTES / MÚSICA	Atualizado
1989-600X	Comunicación - Revista Internacional de Comunicación Audiovisual, Publicidad y Literatura	B1	ARTES / MÚSICA	Atualizado
1981-9897	Concinnitas (Online) (Rio de Janeiro)	B1	ARTES / MÚSICA	Atualizado
