ISSN	Título	Estrato	Área de Avaliação	Status
1677-9509	Textos & Contextos (Porto Alegre)	A2	SERVIÇO SOCIAL	Atualizado
1138-7416	The Spanish Journal of Psychology	A2	SERVIÇO SOCIAL	Atualizado
0803-5253	Acta Paediatrica (Oslo)	B1	SERVIÇO SOCIAL	Atualizado
0994-4524	Actuel Marx	B1	SERVIÇO SOCIAL	Atualizado
1516-1498	Ágora ( PPGTP/UFRJ)	B1	SERVIÇO SOCIAL	Atualizado
0002-9165	American Journal of Clinical Nutrition	B1	SERVIÇO SOCIAL	Atualizado
1516-2680	Análise (PUCRS)	B1	SERVIÇO SOCIAL	Atualizado
1809-5267	Arquivos Brasileiros de Psicologia (Online)	B1	SERVIÇO SOCIAL	Atualizado
1578-8946	Athenea Digital	B1	SERVIÇO SOCIAL	Atualizado
1414-4077	Avaliação (UNICAMP)	B1	SERVIÇO SOCIAL	Atualizado
0104-6578	Barbarói (UNISC. Impresso)	B1	SERVIÇO SOCIAL	Atualizado
1982-2022	Barbarói (UNISC. Online)	B1	SERVIÇO SOCIAL	Atualizado
1471-2458	BMC Public Health (Online)	B1	SERVIÇO SOCIAL	Atualizado
8756-3282	Bone (New York, N.Y.)	B1	SERVIÇO SOCIAL	Atualizado
0100-1574	Cadernos de Pesquisa (Fundação Carlos Chagas. Impresso)	B1	SERVIÇO SOCIAL	Atualizado
1983-652X	Ciência & Saúde (Porto Alegre)	B1	SERVIÇO SOCIAL	Atualizado
0301-5661	Community Dentistry and Oral Epidemiology	B1	SERVIÇO SOCIAL	Atualizado
0102-8529	Contexto Internacional (PUCRJ. Impresso)	B1	SERVIÇO SOCIAL	Atualizado
0011-152X	Critica Marxista (Roma)	B1	SERVIÇO SOCIAL	Atualizado
0327-3776	Cuadernos de Antropología Social (Impresa)	B1	SERVIÇO SOCIAL	Atualizado
0104-0618	Economia e Sociedade (UNICAMP. Impresso)	B1	SERVIÇO SOCIAL	Atualizado
1517-9702	Educação e Pesquisa (USP. Impresso)	B1	SERVIÇO SOCIAL	Atualizado
0100-3143	Educação e Realidade	B1	SERVIÇO SOCIAL	Atualizado
0101-7330	Educação & Sociedade (Impresso)	B1	SERVIÇO SOCIAL	Atualizado
0014-0481	Espaces et Sociétés	B1	SERVIÇO SOCIAL	Atualizado
